iter	RMSE
0	0.0008838698135
1	0.0008577242493
2	0.0008342939655
3	0.0008140382094
4	0.0008051094817
5	0.0007840729337
6	0.0007727483321
7	0.000763219622
8	0.0007462745891
9	0.0007235861565
10	0.0007143692429
11	0.0007057042887
12	0.0007014087273
13	0.0006916794966
14	0.0006872128622
15	0.0006839021083
16	0.0006807301735
17	0.0006778504726
18	0.0006728764148
19	0.0006682668658
20	0.0006563291428
21	0.0006529967596
22	0.0006500033553
23	0.0006453825439
24	0.0006436592808
25	0.0006398224441
26	0.0006345334503
27	0.0006304415442
28	0.0006254929485
29	0.0006233570375
30	0.0006205222771
31	0.0006176265754
32	0.0006137114763
33	0.0006089892763
34	0.0006081087705
35	0.0006016556541
36	0.0005987137671
37	0.0005949255049
38	0.0005932157253
39	0.0005887151469
40	0.0005854352442
41	0.0005795648279
42	0.0005779809897
43	0.000575418025
44	0.0005717555954
45	0.0005689547274
46	0.0005656535859
47	0.0005641380496
48	0.0005620346274
49	0.0005590886219
