iter	RMSE
0	0.002069935469
1	0.002052354457
2	0.002043776874
3	0.002034377933
4	0.002022710828
5	0.002009360657
6	0.002002047293
7	0.001993831122
8	0.001987815774
9	0.001972598903
10	0.00195923447
11	0.001952578736
12	0.001942335919
13	0.001934115073
14	0.001919971649
15	0.001908384455
16	0.0019007728
17	0.001895086019
18	0.001883970739
19	0.001875368907
20	0.001866877649
21	0.001861272864
22	0.001849966961
23	0.001837479143
24	0.001829858125
25	0.001823427111
26	0.00181913887
27	0.001812063999
28	0.001803860838
29	0.001794316025
30	0.001784621873
31	0.001773883572
32	0.001766624664
33	0.001755513471
34	0.001750464432
35	0.001742550716
36	0.001731898147
37	0.001728062904
38	0.001720518746
39	0.001714179891
40	0.001703069893
41	0.001698849002
42	0.001691304018
43	0.001683492779
44	0.001674861405
45	0.001671817358
46	0.001667743254
47	0.001662397169
48	0.001655660509
49	0.001650480252
